,Northland,Auckland,Waikato,Bay of Plenty,Gisborne,Hawke's Bay,Taranaki,Manawatu-Whanganui,Wellington,West Coast,Canterbury,Otago,Southland,Marlborough,Tasman/Nelson,Total North Island,Total South Island,New Zealand
2000,"19,789","33,958","25,086","23,920","20,918","24,692","36,085","22,091","39,421","21,930","26,604","24,344","27,134","24,878","24,402","30,583","25,768","29,421"
2001,"21,959","34,456","28,300","25,478","22,147","26,528","44,227","23,764","39,733","25,181","27,799","26,259","31,695","27,092","25,790","32,036","27,576","30,960"
2002,"23,539","36,276","30,637","26,890","23,257","28,139","45,334","25,543","42,198","26,677","29,500","28,447","34,070","29,709","27,742","33,943","29,497","32,873"
2003,"22,566","38,566","29,103","27,245","23,740","29,538","43,953","25,604","43,572","25,599","30,895","29,925","33,032","30,091","28,416","34,958","30,476","33,883"
2004,"23,990","40,507","31,089","28,506","23,923","31,346","43,591","27,168","44,967","27,966","32,739","31,679","34,212","32,558","30,212","36,629","32,277","35,586"
2005,"26,230","42,860","32,499","30,145","25,193","33,496","43,874","28,885","46,751","29,308","35,268","33,901","34,100","34,005","32,071","38,593","34,345","37,577"
2006,"28,162","44,201","34,497","31,303","25,528","34,212","45,441","30,992","49,226","33,856","36,686","35,030","36,466","35,587","31,813","40,231","35,755","39,162"
2007,"30,605","44,959","37,978","34,096","27,559","35,113","53,273","31,663","50,020","36,165","38,517","36,785","39,196","39,274","34,289","41,850","37,811","40,885"
2008,"32,119","47,743","39,804","36,602","28,478","34,252","76,618","34,279","53,351","42,071","41,002","39,279","44,897","44,298","36,065","44,994","40,750","43,982"
2009,"32,601","46,785","41,622","36,048","30,142","35,583","78,799","33,890","54,393","46,237","41,949","40,487","47,660","45,243","37,187","45,069","42,032","44,344"
2010,"30,805","47,860","40,292","37,073","30,816","35,811","75,220","35,476","56,780","44,549","42,522","41,845","47,736","43,598","38,198","45,729","42,585","44,977"
2011,"32,588","49,296","42,162","39,032","32,423","37,722","77,820","37,144","57,531","47,062","44,740","43,204","51,327","44,128","39,486","47,262","44,607","46,632"
2012,"32,971","51,300","44,552","40,464","33,288","38,669","76,793","37,769","60,238","50,109","47,588","44,332","52,437","46,891","39,751","49,036","46,707","48,487"
2013,"32,684","52,577","43,294","41,111","33,250","39,762","76,974","37,860","61,113","48,090","49,641","44,860","50,580","49,089","40,376","49,678","47,831","49,242"
2014,"35,150","54,588","47,577","42,514","34,051","41,380","81,159","40,109","63,045","51,324","54,233","47,771","57,409","53,910","42,880","51,988","52,060","52,005"
2015,"35,635","57,568","46,816","42,544","35,187","41,553","78,502","40,190","64,832","49,099","55,540","47,855","54,326","55,736","43,446","53,414","52,561","53,214"
2016,"37,577","61,258","47,394","45,148","36,997","42,580","67,098","40,847","66,111","45,866","55,773","49,880","52,130","57,085","45,035","55,337","53,015","54,793"
2017,"39,386","63,808","49,445","49,414","38,180","45,643","66,863","42,242","68,602","48,450","56,159","52,104","56,432","60,096","47,263","57,750","54,477","56,980"
2018,"41,538","66,544","52,518","52,279","40,838","48,374","73,681","45,027","70,362","54,773","59,294","55,448","61,248","63,413","49,939","60,491","57,857","59,874"
2019,"42,231","69,011","55,402","54,971","43,798","49,681","74,084","47,146","71,834","56,640","60,952","57,503","64,209","66,187","52,496","62,654","59,844","61,995"
2020,"43,999","70,952","57,663","56,688","44,086","51,840","74,891","49,062","76,230","57,122","63,172","58,929","65,089","68,361","54,395","64,879","61,697","64,134"
2021,"43,690","71,479","58,791","57,997","47,853","53,958","71,001","52,046","75,552","58,188","62,213","57,174","66,063","68,425","54,672","65,430","60,954","64,377"
2022,"48,267","78,828","63,560","62,604","49,703","59,625","77,663","56,067","82,117","58,743","66,902","62,230","76,421","70,916","58,967","71,509","65,955","70,197"
2023,"52,285","86,359","67,497","65,854","53,153","62,504","82,993","58,193","90,131","70,765","72,486","68,464","81,197","81,295","64,702","77,389","71,999","76,113"
2024,"54,796","88,355","68,598","67,650","55,326","64,935","85,362","59,834","92,776","75,057","74,772","71,113","83,620","84,296","66,293","79,420","74,395","78,233"
